ROW_ID,temp_cpu,temp_h,temp_p,humidity,pressure,pitch,roll,yaw,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,reset,time_stamp
1,31.88,27.57,25.01,44.94,1001.68,1.49,52.25,185.21,-46.422753,-8.132907,-12.129346,-0.000468,0.019439,0.014569,0.000942,0.000492,-0.00075,20,2016-02-16 10:44:40
2,31.79,27.53,25.01,45.12,1001.72,1.03,53.73,186.72,-48.778951,-8.304243,-12.943096,-0.000614,0.019436,0.014577,0.000218,-5e-06,-0.000235,0,2016-02-16 10:44:50
3,31.66,27.53,25.01,45.12,1001.72,1.24,53.57,186.21,-49.161878,-8.470832,-12.642772,-0.000569,0.019359,0.014357,0.000395,0.0006,-3e-06,0,2016-02-16 10:45:00
4,31.69,27.52,25.01,45.32,1001.69,1.57,53.63,186.03,-49.341941,-8.45738,-12.615509,-0.000575,0.019383,0.014409,0.000308,0.000577,-0.000102,0,2016-02-16 10:45:10
5,31.66,27.54,25.01,45.18,1001.71,0.85,53.66,186.46,-50.056683,-8.122609,-12.678341,-0.000548,0.019378,0.01438,0.000321,0.000691,0.000272,0,2016-02-16 10:45:20
6,31.69,27.55,25.01,45.12,1001.67,0.85,53.53,185.52,-50.246476,-8.343209,-11.938124,-0.000536,0.019453,0.01438,0.000273,0.000494,-5.9e-05,0,2016-02-16 10:45:30
7,31.68,27.53,25.01,45.31,1001.7,0.63,53.55,186.1,-50.447346,-7.937309,-12.188574,-0.00051,0.019264,0.014528,-0.000111,0.00032,0.000222,0,2016-02-16 10:45:41
8,31.66,27.55,25.01,45.34,1001.7,1.49,53.65,186.08,-50.668232,-7.7626,-12.284196,-0.000523,0.019473,0.014298,-4.4e-05,0.000436,0.000301,0,2016-02-16 10:45:50
9,31.67,27.54,25.01,45.2,1001.72,1.22,53.77,186.55,-50.761529,-7.262934,-11.98109,-0.000522,0.019385,0.014286,0.000358,0.000651,0.000187,0,2016-02-16 10:46:01
10,31.67,27.54,25.01,45.41,1001.75,1.63,53.46,185.94,-51.243832,-6.87527,-11.672494,-0.000581,0.01939,0.014441,0.000266,0.000676,0.000356,0,2016-02-16 10:46:10
